"Date","Price","Open","High","Low","Vol.","Change %"
"01/25/2015","0.0150","0.0174","0.0175","0.0131","2.23K","-13.80%"
"02/01/2015","0.0147","0.0150","0.0170","0.0130","0.66K","-2.07%"
"02/08/2015","0.0120","0.0147","0.0151","0.0110","","-18.26%"
"02/15/2015","0.0131","0.0120","0.0151","0.0120","0.00K","8.92%"
"02/22/2015","0.0118","0.0131","0.0140","0.0116","0.04K","-9.87%"
"03/01/2015","0.0103","0.0118","0.0135","0.0066","60.97K","-12.56%"
"03/08/2015","0.0111","0.0103","0.0120","0.0077","11.36K","7.96%"
"03/15/2015","0.0101","0.0111","0.0150","0.0075","0.00K","-9.08%"
"03/22/2015","0.0089","0.0101","0.0102","0.0080","","-11.47%"
"03/29/2015","0.0094","0.0089","0.0099","0.0075","0.00K","4.67%"
"04/05/2015","0.0080","0.0094","0.0098","0.0079","0.03K","-14.60%"
"04/12/2015","0.0083","0.0080","0.0091","0.0080","","3.39%"
"04/19/2015","0.0080","0.0083","0.0115","0.0036","3.29K","-3.02%"
"04/26/2015","0.0084","0.0080","0.0085","0.0076","0.02K","5.24%"
"05/03/2015","0.0078","0.0084","0.0085","0.0067","0.00K","-7.59%"
"05/10/2015","0.0065","0.0078","0.0078","0.0065","1.43K","-16.86%"
"05/17/2015","0.0071","0.0065","0.0071","0.0046","0.02K","9.42%"
"05/24/2015","0.0081","0.0071","0.0150","0.0050","5.83K","14.15%"
"05/31/2015","0.0089","0.0081","0.0090","0.0056","24.73K","10.11%"
"06/07/2015","0.0079","0.0089","0.0089","0.0056","1.36K","-11.43%"
"06/14/2015","0.0141","0.0080","0.0150","0.0080","6.89K","78.48%"
"06/21/2015","0.0110","0.0141","0.0150","0.0100","10.92K","-21.99%"
"06/28/2015","0.0109","0.0110","0.0150","0.0084","0.22K","-0.91%"
"07/05/2015","0.0082","0.0109","0.0109","0.0056","7.13K","-24.31%"
"07/12/2015","0.0080","0.0082","0.0090","0.0079","0.85K","-3.03%"
"07/19/2015","0.0077","0.0080","0.0085","0.0071","0.00K","-3.75%"
"07/26/2015","0.0084","0.0077","0.0088","0.0076","0.00K","9.22%"
"08/02/2015","0.0090","0.0084","0.0093","0.0080","1.00K","7.02%"
"08/09/2015","0.0080","0.0090","0.0092","0.0080","0.28K","-11.00%"
"08/16/2015","0.0080","0.0080","0.0090","0.0078","0.36K","0.00%"
"08/23/2015","0.0087","0.0080","0.0095","0.0055","0.00K","8.99%"
"08/30/2015","0.0080","0.0087","0.0095","0.0055","0.01K","-8.36%"
"09/06/2015","0.0076","0.0080","0.0085","0.0070","4.34K","-5.63%"
"09/13/2015","0.0077","0.0076","0.0080","0.0072","","1.99%"
"09/20/2015","0.0066","0.0077","0.0077","0.0066","3.41K","-14.34%"
"09/27/2015","0.0052","0.0056","0.0072","0.0052","0.88K","-20.41%"
"10/04/2015","0.0082","0.0051","0.0082","0.0044","4.97K","57.14%"
"10/11/2015","0.0051","0.0052","0.0070","0.0050","4.26K","-38.78%"
"10/18/2015","0.0046","0.0050","0.0055","0.0045","2.17K","-8.93%"
"10/25/2015","0.0050","0.0046","0.0055","0.0040","72.17K","9.41%"
"11/01/2015","0.0044","0.0050","0.0055","0.0040","80.20K","-11.58%"
"11/08/2015","0.0048","0.0044","0.0050","0.0040","29.00K","7.87%"
"11/15/2015","0.0041","0.0043","0.0045","0.0040","31.87K","-15.46%"
"11/22/2015","0.0040","0.0043","0.0044","0.0040","17.75K","-1.43%"
"11/29/2015","0.0043","0.0040","0.0048","0.0038","89.16K","6.25%"
"12/06/2015","0.0061","0.0043","0.0100","0.0043","180.10K","44.26%"
"12/13/2015","0.0055","0.0061","0.0070","0.0043","691.56K","-10.29%"
"12/20/2015","0.0058","0.0050","0.0067","0.0047","42.37K","5.45%"
"12/27/2015","0.0051","0.0051","0.0055","0.0049","12.09K","-11.64%"
"01/03/2016","0.0040","0.0051","0.0056","0.0040","27.66K","-21.95%"
"01/10/2016","0.0049","0.0054","0.0054","0.0040","28.18K","22.30%"
"01/17/2016","0.0051","0.0049","0.0056","0.0049","38.98K","4.66%"
"01/24/2016","0.0063","0.0051","0.0078","0.0050","222.98K","23.63%"
"01/31/2016","0.0080","0.0063","0.0080","0.0053","32.47K","26.38%"
"02/07/2016","0.0084","0.0080","0.1000","0.0064","1.08M","5.50%"
"02/14/2016","0.0079","0.0084","0.0090","0.0073","1.04M","-6.45%"
"02/21/2016","0.0078","0.0079","0.0084","0.0075","132.72K","-1.22%"
"02/28/2016","0.0073","0.0078","0.0085","0.0073","722.70K","-5.87%"
"03/06/2016","0.0081","0.0073","0.0097","0.0072","813.44K","10.87%"
"03/13/2016","0.0078","0.0081","0.0089","0.0072","560.44K","-3.93%"
"03/20/2016","0.0081","0.0078","0.0085","0.0078","562.42K","3.94%"
"03/27/2016","0.0076","0.0081","0.0081","0.0069","803.85K","-6.87%"
"04/03/2016","0.0062","0.0076","0.0076","0.0060","404.57K","-17.81%"
"04/10/2016","0.0065","0.0062","0.0065","0.0056","398.68K","5.26%"
"04/17/2016","0.0074","0.0065","0.0078","0.0062","191.48K","12.34%"
"04/24/2016","0.0069","0.0074","0.0075","0.0064","54.85K","-6.47%"
"05/01/2016","0.0063","0.0069","0.0069","0.0061","644.83K","-7.80%"
"05/08/2016","0.0060","0.0063","0.0065","0.0057","846.91K","-4.65%"
"05/15/2016","0.0060","0.0060","0.0062","0.0057","912.14K","-1.64%"
"05/22/2016","0.0049","0.0060","0.0060","0.0049","778.12K","-18.44%"
"05/29/2016","0.0059","0.0049","0.0062","0.0049","1.65M","21.47%"
"06/05/2016","0.0057","0.0059","0.0059","0.0055","3.28M","-3.48%"
"06/12/2016","0.0065","0.0057","0.0200","0.0054","19.57M","14.36%"
"06/19/2016","0.0065","0.0065","0.0100","0.0058","21.22M","0.00%"
"06/26/2016","0.0066","0.0065","0.0075","0.0063","9.34M","2.02%"
"07/03/2016","0.0065","0.0066","0.0070","0.0061","4.45M","-0.92%"
"07/10/2016","0.0067","0.0065","0.0068","0.0062","2.89M","2.41%"
"07/17/2016","0.0064","0.0067","0.0069","0.0062","2.51M","-4.58%"
"07/24/2016","0.0062","0.0064","0.0065","0.0058","2.12M","-3.12%"
"07/31/2016","0.0063","0.0062","0.0069","0.0048","3.71M","1.61%"
"08/07/2016","0.0062","0.0063","0.0066","0.0059","3.14M","-1.90%"
"08/14/2016","0.0062","0.0062","0.0064","0.0050","2.04M","0.00%"
"08/21/2016","0.0059","0.0062","0.0063","0.0056","1.72M","-4.90%"
"08/28/2016","0.0060","0.0059","0.0067","0.0058","3.59M","2.20%"
"09/04/2016","0.0059","0.0060","0.0062","0.0058","3.10M","-1.87%"
"09/11/2016","0.0071","0.0059","0.0115","0.0058","12.64M","19.62%"
"09/18/2016","0.0075","0.0071","0.0075","0.0066","4.11M","5.96%"
"09/25/2016","0.0080","0.0075","0.0095","0.0072","8.11M","6.43%"
"10/02/2016","0.0074","0.0080","0.0084","0.0071","2.53M","-6.72%"
"10/09/2016","0.0080","0.0074","0.0090","0.0073","4.03M","7.43%"
"10/16/2016","0.0089","0.0080","0.0093","0.0079","5.09M","11.01%"
"10/23/2016","0.0077","0.0089","0.0095","0.0072","4.47M","-12.93%"
"10/30/2016","0.0082","0.0077","0.0084","0.0076","4.68M","6.18%"
"11/06/2016","0.0081","0.0082","0.0085","0.0077","1.80M","-1.23%"
"11/13/2016","0.0077","0.0081","0.0082","0.0076","2.57M","-5.18%"
"11/20/2016","0.0070","0.0077","0.0077","0.0068","3.45M","-9.34%"
"11/27/2016","0.0067","0.0070","0.0070","0.0064","2.21M","-4.52%"
"12/04/2016","0.0067","0.0067","0.0073","0.0063","1.45M","1.29%"
